@timestamp,hostname,content.vrf_brief.PrimaryAddress,content.key.interface
2016-03-15T00:50:16.564Z,s0-r4,10.1.1.1,Loopback0
2016-03-15T00:50:16.564Z,s0-r4,192.168.1.7,GigabitEthernet0/0/0/1
2016-03-15T00:50:16.565Z,s0-r4,192.168.1.15,GigabitEthernet0/0/0/4
2016-03-15T00:50:20.420Z,s0-r1,128.0.0.1,Loopback999
2016-03-15T00:50:20.421Z,s0-r1,192.168.1.17,GigabitEthernet0/0/0/4
2016-03-15T00:50:23.154Z,s0-r3,192.168.1.29,GigabitEthernet0/0/0/4
2016-03-15T00:49:58.810Z,s0-r2,192.168.1.11,GigabitEthernet0/0/0/1
2016-03-15T00:50:02.181Z,s0-r6,192.168.1.24,GigabitEthernet0/0/0/3
2016-03-15T00:50:02.181Z,s0-r6,192.168.1.27,GigabitEthernet0/0/0/4
2016-03-15T00:50:02.181Z,s0-r6,192.168.1.32,GigabitEthernet0/0/0/5
2016-03-15T00:50:32.105Z,s0-r6,192.168.1.43,GigabitEthernet0/0/0/7
2016-03-15T00:49:53.235Z,s0-r3,192.168.1.10,GigabitEthernet0/0/0/3
2016-03-15T00:49:53.235Z,s0-r3,192.168.1.30,GigabitEthernet0/0/0/5
2016-03-15T00:49:58.810Z,s0-r2,10.1.1.3,Loopback0
2016-03-15T00:49:58.810Z,s0-r2,128.0.0.1,Loopback999
2016-03-15T00:49:58.810Z,s0-r2,192.168.1.26,GigabitEthernet0/0/0/5
2016-03-15T00:50:16.564Z,s0-r4,10.0.20.2,GigabitEthernet0/0/0/2
2016-03-15T00:50:16.564Z,s0-r4,192.168.1.8,GigabitEthernet0/0/0/3
2016-03-15T00:50:23.154Z,s0-r3,10.1.1.5,Loopback0
2016-03-15T00:50:23.154Z,s0-r3,128.0.0.1,Loopback999
2016-03-15T00:50:23.154Z,s0-r3,192.168.1.5,GigabitEthernet0/0/0/0
2016-03-15T00:50:23.154Z,s0-r3,192.168.1.6,GigabitEthernet0/0/0/1
2016-03-15T00:50:23.154Z,s0-r3,192.168.1.30,GigabitEthernet0/0/0/5
2016-03-15T00:50:28.882Z,s0-r2,128.0.0.1,Loopback999
2016-03-15T00:50:32.105Z,s0-r6,128.0.0.1,Loopback999
2016-03-15T00:50:32.105Z,s0-r6,192.168.1.23,GigabitEthernet0/0/0/2
2016-03-15T00:50:32.106Z,s0-r6,10.25.0.36,MgmtEth0/RP0/CPU0/0
2016-03-15T00:50:46.559Z,s0-r4,192.168.1.7,GigabitEthernet0/0/0/1
2016-03-15T00:50:46.559Z,s0-r4,192.168.1.8,GigabitEthernet0/0/0/3
2016-03-15T00:50:46.560Z,s0-r4,192.168.1.15,GigabitEthernet0/0/0/4
2016-03-15T00:49:53.235Z,s0-r3,10.1.1.5,Loopback0
2016-03-15T00:49:53.235Z,s0-r3,10.1.1.6,Loopback1
2016-03-15T00:50:02.180Z,s0-r6,10.1.1.6,Loopback0
2016-03-15T00:50:02.181Z,s0-r6,10.0.21.2,GigabitEthernet0/0/0/0
2016-03-15T00:50:02.181Z,s0-r6,192.168.1.35,GigabitEthernet0/0/0/6
2016-03-15T00:50:20.420Z,s0-r1,10.1.1.2,Loopback0
2016-03-15T00:50:20.420Z,s0-r1,192.168.1.1,GigabitEthernet0/0/0/0
2016-03-15T00:50:20.420Z,s0-r1,192.168.1.2,GigabitEthernet0/0/0/1
2016-03-15T00:50:20.421Z,s0-r1,10.25.0.22,MgmtEth0/RP0/CPU0/0
2016-03-15T00:50:23.154Z,s0-r3,10.1.1.6,Loopback1
2016-03-15T00:50:23.154Z,s0-r3,10.25.0.24,MgmtEth0/RP0/CPU0/0
2016-03-15T00:49:58.810Z,s0-r2,192.168.1.12,GigabitEthernet0/0/0/2
2016-03-15T00:49:58.810Z,s0-r2,10.0.23.2,GigabitEthernet0/0/0/3
2016-03-15T00:49:58.810Z,s0-r2,192.168.1.25,GigabitEthernet0/0/0/4
2016-03-15T00:49:58.811Z,s0-r2,10.25.0.23,MgmtEth0/RP0/CPU0/0
2016-03-15T00:50:28.882Z,s0-r2,192.168.1.45,GigabitEthernet0/0/0/6
2016-03-15T00:50:28.883Z,s0-r2,10.25.0.23,MgmtEth0/RP0/CPU0/0
2016-03-15T00:50:32.105Z,s0-r6,10.0.21.2,GigabitEthernet0/0/0/0
2016-03-15T00:50:32.105Z,s0-r6,192.168.1.27,GigabitEthernet0/0/0/4
2016-03-15T00:50:16.564Z,s0-r4,1.1.1.1,Loopback1
2016-03-15T00:50:46.559Z,s0-r4,10.1.1.1,Loopback0
2016-03-15T00:50:46.559Z,s0-r4,128.0.0.1,Loopback999
2016-03-15T00:49:53.235Z,s0-r3,128.0.0.1,Loopback999
2016-03-15T00:49:53.235Z,s0-r3,192.168.1.5,GigabitEthernet0/0/0/0
2016-03-15T00:49:53.235Z,s0-r3,192.168.1.29,GigabitEthernet0/0/0/4
2016-03-15T00:49:53.235Z,s0-r3,10.25.0.24,MgmtEth0/RP0/CPU0/0
2016-03-15T00:49:58.810Z,s0-r2,192.168.1.45,GigabitEthernet0/0/0/6
2016-03-15T00:50:02.181Z,s0-r6,128.0.0.1,Loopback999
2016-03-15T00:50:02.181Z,s0-r6,192.168.1.20,GigabitEthernet0/0/0/1
2016-03-15T00:50:02.181Z,s0-r6,192.168.1.43,GigabitEthernet0/0/0/7
2016-03-15T00:50:16.564Z,s0-r4,192.168.1.0,GigabitEthernet0/0/0/0
2016-03-15T00:50:20.420Z,s0-r1,10.1.1.2,tunnel-te102
2016-03-15T00:50:20.421Z,s0-r1,192.168.1.13,GigabitEthernet0/0/0/2
2016-03-15T00:50:20.421Z,s0-r1,192.168.1.14,GigabitEthernet0/0/0/3
2016-03-15T00:50:23.154Z,s0-r3,192.168.1.9,GigabitEthernet0/0/0/2
2016-03-15T00:50:28.882Z,s0-r2,10.1.1.3,Loopback0
2016-03-15T00:50:28.882Z,s0-r2,10.0.23.2,GigabitEthernet0/0/0/3
2016-03-15T00:50:28.882Z,s0-r2,192.168.1.47,GigabitEthernet0/0/0/7
2016-03-15T00:50:32.105Z,s0-r6,192.168.1.20,GigabitEthernet0/0/0/1
2016-03-15T00:50:32.105Z,s0-r6,192.168.1.35,GigabitEthernet0/0/0/6
2016-03-15T00:50:46.559Z,s0-r4,1.1.1.1,Loopback1
2016-03-15T00:50:46.560Z,s0-r4,10.0.22.2,GigabitEthernet0/0/0/5
2016-03-15T00:50:16.564Z,s0-r4,128.0.0.1,Loopback999
2016-03-15T00:50:16.565Z,s0-r4,100.100.100.1,GigabitEthernet0/0/0/4.100
2016-03-15T00:50:16.565Z,s0-r4,10.0.22.2,GigabitEthernet0/0/0/5
2016-03-15T00:50:16.565Z,s0-r4,10.25.0.21,MgmtEth0/RP0/CPU0/0
2016-03-15T00:50:20.421Z,s0-r1,192.168.1.18,GigabitEthernet0/0/0/5
2016-03-15T00:50:23.154Z,s0-r3,192.168.1.10,GigabitEthernet0/0/0/3
2016-03-15T00:49:53.235Z,s0-r3,192.168.1.6,GigabitEthernet0/0/0/1
2016-03-15T00:49:53.235Z,s0-r3,192.168.1.9,GigabitEthernet0/0/0/2
2016-03-15T00:49:58.810Z,s0-r2,192.168.1.3,GigabitEthernet0/0/0/0
2016-03-15T00:49:58.811Z,s0-r2,192.168.1.47,GigabitEthernet0/0/0/7
2016-03-15T00:50:02.181Z,s0-r6,192.168.1.23,GigabitEthernet0/0/0/2
2016-03-15T00:50:02.181Z,s0-r6,10.25.0.36,MgmtEth0/RP0/CPU0/0
2016-03-15T00:50:28.882Z,s0-r2,192.168.1.3,GigabitEthernet0/0/0/0
2016-03-15T00:50:28.882Z,s0-r2,192.168.1.11,GigabitEthernet0/0/0/1
2016-03-15T00:50:28.882Z,s0-r2,192.168.1.12,GigabitEthernet0/0/0/2
2016-03-15T00:50:28.882Z,s0-r2,192.168.1.25,GigabitEthernet0/0/0/4
2016-03-15T00:50:28.882Z,s0-r2,192.168.1.26,GigabitEthernet0/0/0/5
2016-03-15T00:50:32.105Z,s0-r6,10.1.1.6,Loopback0
2016-03-15T00:50:32.105Z,s0-r6,192.168.1.24,GigabitEthernet0/0/0/3
2016-03-15T00:50:32.105Z,s0-r6,192.168.1.32,GigabitEthernet0/0/0/5